Driver,Team,BrakingDistance,LapNumber
LAW,Racing Bulls,140.79999999999995,19.0
LAW,Racing Bulls,140.5755555555554,20.0
LAW,Racing Bulls,139.7969444444443,21.0
LAW,Racing Bulls,156.69999999999936,22.0
LAW,Racing Bulls,135.3747222222221,23.0
LAW,Racing Bulls,145.3222222222223,24.0
LAW,Racing Bulls,134.9363888888888,25.0
LAW,Racing Bulls,147.41111111111104,26.0
LAW,Racing Bulls,140.29999999999973,27.0
LAW,Racing Bulls,145.45194444444405,30.0
LAW,Racing Bulls,118.23333333333312,31.0
LAW,Racing Bulls,135.4555555555553,32.0
LAW,Racing Bulls,138.57583333333332,33.0
LAW,Racing Bulls,121.15222222222224,34.0
LAW,Racing Bulls,122.58527777777772,35.0
LAW,Racing Bulls,137.96666666666715,36.0
LAW,Racing Bulls,140.05333333333328,37.0
LAW,Racing Bulls,144.7449999999999,38.0
LAW,Racing Bulls,142.41805555555538,39.0
LAW,Racing Bulls,133.69833333333327,40.0
LAW,Racing Bulls,111.51111111111095,41.0
LAW,Racing Bulls,121.50444444444429,42.0
